episode_id,profile_id,profile_url,company_name,company_name_clean,title_raw,title_normalized,start_year,start_month,end_year,end_month,duration_months,duration_months_to_scrape_date,is_censored,scrape_date,imputed_start_month,imputed_end_month,imputed_duration,episode_start_era,company_size_tier,industry_sector,industry_normalized,profile_region,contributor_episode_count,size_tier_usable,qa_flags,exclusion_reason
85c1504d-abf7-4c67-a9fa-494b0627019d,6f196b760e44,https://www.linkedin.com/in/pete-kim-95b2982,Defense Information Systems Agency,defense information systems agency,"Commander, Defense Information Technology Contracting Office - Pacific",,2004,6,2006.0,5.0,23.0,263,False,2026-05-17,False,False,False,Pre-COVID,10000+,Cloud Security,,,0,False,,Excluded_Interim
ca5f6db4-e550-4c11-9610-536e25861c65,dee1295b1f5c,https://www.linkedin.com/in/michaelmakstman,City and County of San Francisco,city and county of san francisco,CIO and Head of Department of Technology,,2023,12,,,,29,True,2026-05-17,False,False,False,Post-COVID,10000+,F/S/L Government,,,0,True,,Excluded_Other
7ecaac6e-1680-4292-8317-a793cee850e9,8ce6d41728f2,https://www.linkedin.com/in/vu-nguyen-687200b,USCIS,uscis,Acting Chief Information Security Officer (CISO),,2017,8,2018.0,2.0,6.0,105,False,2026-05-17,False,False,False,Pre-COVID,10000+,F/S/L Government,,,0,False,,Excluded_Interim
0fc9d2c4-92b2-4865-972b-c08849c9cf0c,629550656224,https://www.linkedin.com/in/tdalvi,Confluent,confluent,Deputy CISO,,2025,3,,,,14,True,2026-05-17,False,False,False,Post-COVID,1001-5000,Enterprise SaaS,,,0,True,,Excluded_Deputy
3f3a97f4-9b7c-4aff-a915-599fc45ccc5b,5957a7025148,https://www.linkedin.com/in/hudsonthrift,Amazon,amazon,Vice President of Security Engineering,,2023,9,2024.0,4.0,7.0,32,False,2026-05-17,False,False,False,Post-COVID,10000+,Consumer,,,0,True,,VP_below_CISO_at_same_company
5d58de7f-8ed3-43bd-a649-8b5ee335c532,e630d2301ba7,https://www.linkedin.com/in/me4153fmkhan,Lucid Motors,lucid motors,Interim CISO,,2024,6,,,,23,True,2026-05-17,False,False,False,Post-COVID,1001-5000,Shipping / Transportation,,,0,True,,Excluded_Interim
9003999d-14d9-4c87-89a9-98c6a20dcbc7,86efc75244cc,https://www.linkedin.com/in/csandulow,MongoDB,mongodb,Deputy CISO,,2019,8,2024.0,9.0,61.0,81,False,2026-05-17,False,False,False,Pre-COVID,1001-5000,Enterprise SaaS,,,0,False,,Excluded_Deputy
ba872122-02e9-4320-9af3-c4cb2d3ddf84,86efc75244cc,https://www.linkedin.com/in/csandulow,Citadel,citadel,Deputy CISO,,2018,7,2019.0,8.0,13.0,94,False,2026-05-17,False,False,False,Pre-COVID,1001-5000,Enterprise SaaS,,,0,False,,Excluded_Deputy
2c90dd6b-6546-4907-b2e5-025eaa90ccf2,6e540c04fcb1,https://www.linkedin.com/in/chrisdken,SLAC National Accelerator Laboratory,slac national accelerator laboratory,"A-CIO, IT Operations | HPC | Data Center Ops | Platform Eng | Private/Public Cloud | Cyber",,2014,9,2016.0,9.0,24.0,140,False,2026-05-17,False,False,False,Pre-COVID,501-1000,Healthcare,,,0,False,,Excluded_Other
d6ddf883-7558-4a0e-b21c-ff7cc506123c,6e540c04fcb1,https://www.linkedin.com/in/chrisdken,Presidio Trust (Federal Agency),presidio trust (federal agency),Chief Information Officer (CIO) (and Acting CISO),,2006,8,2011.0,11.0,63.0,237,False,2026-05-17,False,False,False,Pre-COVID,501-1000,Healthcare,,,0,False,,Excluded_Interim
