episode_id,profile_id,profile_url,company_name,company_name_clean,title_raw,title_normalized,start_year,start_month,end_year,end_month,duration_months,duration_months_to_scrape_date,is_censored,scrape_date,imputed_start_month,imputed_end_month,imputed_duration,episode_start_era,company_size_tier,industry_sector,industry_normalized,profile_region,contributor_episode_count,size_tier_usable,qa_flags
b1869634-4500-44f5-ab6e-4f5902102234,a8a8f0e7a22f,https://www.linkedin.com/in/csoandy,Duha,duha,Legendary CISO,CISO,2021,3,,,,62,True,2026-05-17,False,False,False,COVID,101-250,Cloud Security,,,2,False,OVERLAPPING_EPISODES
192c3c26-20f6-4637-91db-8c00fcd7bc36,a8a8f0e7a22f,https://www.linkedin.com/in/csoandy,Orca Security,orca security,Advisory CISO,CISO,2021,9,2024.0,7.0,34.0,56,False,2026-05-17,False,False,False,COVID,101-250,Cloud Security,,,2,False,OVERLAPPING_EPISODES
ad164ebf-dbff-4bba-8f95-66b7b64ea7bd,53cc3537ac46,https://www.linkedin.com/in/bendoyleciso,Independent Consultant,independent consultant,CISO / CIO & Board Advisor,CISO,2021,2,,,,63,True,2026-05-17,False,False,False,COVID,251-500,Consumer,,,3,False,OVERLAPPING_EPISODES
b36cf998-63ce-4cc1-922c-becc022533df,53cc3537ac46,https://www.linkedin.com/in/bendoyleciso,Peppy,peppy,Advisory CISO,CISO,2022,8,2023.0,7.0,11.0,45,False,2026-05-17,False,False,False,Post-COVID,251-500,Consumer,,,3,False,OVERLAPPING_EPISODES
ea153248-4357-487b-8586-8fd04ea26908,53cc3537ac46,https://www.linkedin.com/in/bendoyleciso,Welldoc,welldoc,Advisory CISO,CISO,2021,2,2022.0,7.0,17.0,63,False,2026-05-17,False,False,False,COVID,251-500,Consumer,,,3,False,OVERLAPPING_EPISODES
db3a8683-5cb6-4b44-bf78-297393a09aae,14ac0d81f318,https://www.linkedin.com/in/williamaheinrich,Strong Tower Cybersecurity,strong tower cybersecurity,Founder / VCISO / Cybersecurity Executive / Board Advisor,CISO,2020,2,,,,75,True,2026-05-17,False,False,False,Pre-COVID,11-50,Cloud Security,,,3,False,
d2c2234b-48bd-428a-af43-8d27113cdbc5,14ac0d81f318,https://www.linkedin.com/in/williamaheinrich,Amtrak,amtrak,Chief Information Security Officer (Retired),CISO,2017,9,2020.0,1.0,28.0,104,False,2026-05-17,False,False,False,Pre-COVID,11-50,Cloud Security,,,3,False,
28769695-7cd1-4ac5-8f72-f3af0d518c4f,14ac0d81f318,https://www.linkedin.com/in/williamaheinrich,BNSF Railway,bnsf railway,Chief Information Security Officer,CISO,2009,10,2017.0,8.0,94.0,199,False,2026-05-17,False,False,False,Pre-COVID,11-50,Cloud Security,,,3,False,DURATION_OVER_120MO
e4b7802d-e1fa-4833-8366-19b1e1587879,c5232f2b3042,https://www.linkedin.com/in/alex-at,Under Armour,under armour,Global Chief Information Security Officer,CISO,2022,5,,,,48,True,2026-05-17,False,False,False,Post-COVID,,,,,2,False,
e76ffa47-262e-48df-8ee9-e57b8c7e9f25,c5232f2b3042,https://www.linkedin.com/in/alex-at,Under Armour,under armour,Deputy Chief Information Security Officer,CISO,2018,9,2022.0,5.0,44.0,92,False,2026-05-17,False,False,False,Pre-COVID,,,,,2,False,
2cb02370-3d42-429c-92d7-cb97a9235add,1762be7d0bf4,https://www.linkedin.com/in/paul-escobedo-05790a23,Raytheon,raytheon,Chief Information Security Officer (CISO),CISO,2023,6,2024.0,5.0,11.0,35,False,2026-05-17,False,False,False,Post-COVID,10000+,Cloud Security,,,2,True,
002d7c23-7a02-4a4b-945d-1d7ba2fa8f94,1762be7d0bf4,https://www.linkedin.com/in/paul-escobedo-05790a23,Raytheon,raytheon,RI&S Chief Information Security Officer (CISO),CISO,2021,5,2023.0,5.0,24.0,60,False,2026-05-17,False,False,False,COVID,10000+,Cloud Security,,,2,False,
